,,,19,E,17-Jun,15:00,Italy,,1,-,1,,Sweden,,,,"Stadium de Toulouse, Toulouse",,,,,,,,,,,Group E,,,,,P,W,D,L,F,,A,+/-,Pts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,D,17-Jun,18:00,Czech Republic,,1,-,3,,Croatia,,,,"Stade Geoffroy Guichard, Saint-Etienne",,,,,,,,,,,,Belgium,,,,3,3,0,0,8,-,2,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21,D,17-Jun,21:00,Spain,,2,-,1,,Turkey,,,,"Stade de Nice, Nice",,,,,,,,,,,,Italy,,,,3,1,1,1,4,-,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22,E,18-Jun,15:00,Belgium,,3,-,0,,Republic of Ireland,,,,"Stade de Bordeaux, Bordeaus",,,,,,,,,,,,Sweden,,,,3,1,1,1,4,-,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23,F,18-Jun,18:00,Iceland,,0,-,1,,Hungary,,,,"Stade Velodrome, Marseille",,,,,,,,,,,,Republic of Ireland,,,,3,0,0,3,0,-,7,-7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24,F,18-Jun,21:00,Portugal,,2,-,1,,Austria,,,,"Parc des Princes, Paris",,,,,,,,,,,Group F,,,,,P,W,D,L,F,,A,+/-,Pts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,25,A,19-Jun,21:00,Romania,,2,-,1,,Albania,,,,"Stade de Lyon, Lyon",,,,,,,,,,,,Portugal,,,,3,3,0,0,6,-,2,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,26,A,19-Jun,21:00,Switzerland,,1,-,2,,France,,,,"Stade Pierre Mauroy, Lille Metropole",,,,,,,,,,,,Austria,,,,3,1,1,1,4,-,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,27,B,20-Jun,21:00,Russia,,2,-,1,,Wales,,,,"Stadium de Toulouse, Toulouse",,,,,,,,,,,,Hungary,,,,3,1,1,1,3,-,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,28,B,20-Jun,21:00,Slovakia,,1,-,3,,England,,,,"Stade Geoffroy Guichard, Saint-Etienne",,,,,,,,,,,,Iceland,,,,3,0,0,3,1,-,5,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,29,C,21-Jun,18:00,Ukraine,,2,-,1,,Poland,,,,"Stade Velodrome, Marseille",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,30,C,21-Jun,18:00,Northern Ireland,,0,-,4,,Germany,,,,"Parc des Princes, Paris",,,,,,,,,,,Group A-F 3rd Place Standings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
